"","x"
"1",124417.555619772
"2",163263.808684801
"3",173949.916781399
"4",186695.266123144
"5",217289.182863689
"6",168653.605084981
"7",177067.446628091
"8",160743.253275731
"9",195739.04035652
"10",111449.786889603
"11",177748.436307597
"12",96566.0595555217
"13",93307.187288304
"14",140584.264010607
"15",126561.741617762
"16",359006.376868498
"17",255504.418644654
"18",298993.533073126
"19",308844.798175446
"20",475012.800676755
"21",328626.10644993
"22",226847.87591772
"23",189831.562881353
"24",168093.059299912
"25",196105.067794586
"26",196392.232356087
"27",354617.106520478
"28",237459.062008366
"29",200286.356380294
"30",246848.037165331
"31",193437.216955697
"32",99625.8579788443
"33",205119.197125147
"34",297296.178774001
"35",283574.490014718
"36",225427.603311681
"37",190034.776567121
"38",166750.998615949
"39",163971.596949956
"40",154419.352760059
"41",168034.397514928
"42",155611.820160651
"43",265737.451563124
"44",237460.155901978
"45",219128.096491714
"46",178739.89483881
"47",227657.653886146
"48",193689.424439161
"49",160930.001763134
"50",132277.45732452
"51",137423.482989452
"52",167826.953293685
"53",159970.527446476
"54",174307.076501676
"55",210329.459200536
"56",150829.308738362
"57",181305.314105203
"58",130463.956537488
"59",198143.841440159
"60",125354.30182956
"61",131770.187746052
"62",165476.120882474
"63",112688.691683282
"64",124200.931970936
"65",125966.62704064
"66",123112.225911196
"67",105725.041639204
"68",139739.054459502
"69",132514.958145745
"70",189307.908609862
"71",102372.365459472
"72",96865.5384154936
"73",146757.039581877
"74",119753.758141595
"75",145993.579994651
"76",105294.859169539
"77",66784.49237749
"78",170477.131476781
"79",204989.384054292
"80",111390.349828049
"81",137782.147641351
"82",135478.262931625
"83",188772.157216153
"84",95552.3708014098
"85",132245.02309848
"86",130488.639552119
"87",134812.14816368
"88",145990.36527545
"89",118524.218683137
"90",121759.635195507
"91",103633.925333151
"92",112261.959954381
"93",155770.445122379
"94",115785.551516936
"95",163894.199927064
"96",102518.282348136
"97",108054.277248276
"98",114073.557126849
"99",93503.7426706245
"100",129172.182189414
"101",109290.025293356
"102",134579.317925497
"103",116546.641907897
"104",146904.104589428
"105",137506.956077302
"106",246956.570720812
"107",82074.7353048782
"108",207619.88976178
"109",102174.11011888
"110",138598.731521944
"111",108898.517967634
"112",128709.508623026
"113",219284.693360659
"114",110533.594839861
"115",237169.650547995
"116",214138.67693525
"117",180167.011693696
"118",140541.263623677
"119",154095.068261055
"120",189478.329928187
"121",174502.725272095
"122",126303.368556836
"123",271957.708804082
"124",215625.572774228
"125",141921.889215458
"126",83113.0990766649
"127",112710.682654375
"128",141753.263884886
"129",96223.6160546619
"130",127566.984693107
"131",93099.6866616656
"132",105019.367969456
"133",129514.73700967
"134",162852.133962387
"135",106673.002138721
"136",217104.51980583
"137",196665.996657464
"138",248261.613917531
"139",195812.652672414
"140",175906.796283561
"141",72097.1110048766
"142",112330.588535892
"143",81245.7467807864
"144",263040.883395137
"145",217725.004315577
"146",164372.637039404
"147",182259.438596591
"148",200839.609412191
"149",188050.876702693
"150",161496.147895643
"151",132872.29056092
"152",164792.636255221
"153",148404.602308775
"154",114397.130052993
"155",90915.8074605078
"156",79151.0040416509
"157",89964.9508863656
"158",122945.897105528
"159",147197.907313581
"160",143570.060713255
"161",136275.314727061
"162",132404.646057609
